campagne,date,jour,variable,groupe,valeur,date_year,date_month,date_week,jour_year,jour_month,jour_week
2021-2022,2021-10-22,1970-01-01 00:00:00.000000001,ACTE(VGP),65 ans et plus,117217,2021,10,42,1970,1,1
2021-2022,2021-10-22,1970-01-01 00:00:00.000000001,DOSES(J07E1),65 ans et plus,567525,2021,10,42,1970,1,1
2021-2022,2021-10-22,1970-01-01 00:00:00.000000001,ACTE(VGP),moins de 65 ans,24537,2021,10,42,1970,1,1
2021-2022,2021-10-22,1970-01-01 00:00:00.000000001,DOSES(J07E1),moins de 65 ans,111876,2021,10,42,1970,1,1
2021-2022,2021-10-23,1970-01-01 00:00:00.000000002,ACTE(VGP),65 ans et plus,42728,2021,10,42,1970,1,1
2021-2022,2021-10-23,1970-01-01 00:00:00.000000002,DOSES(J07E1),65 ans et plus,234990,2021,10,42,1970,1,1
2021-2022,2021-10-23,1970-01-01 00:00:00.000000002,ACTE(VGP),moins de 65 ans,12205,2021,10,42,1970,1,1
2021-2022,2021-10-23,1970-01-01 00:00:00.000000002,DOSES(J07E1),moins de 65 ans,54861,2021,10,42,1970,1,1
2021-2022,2021-10-24,1970-01-01 00:00:00.000000003,ACTE(VGP),65 ans et plus,351,2021,10,42,1970,1,1
2021-2022,2021-10-24,1970-01-01 00:00:00.000000003,DOSES(J07E1),65 ans et plus,2005,2021,10,42,1970,1,1
2021-2022,2021-10-24,1970-01-01 00:00:00.000000003,ACTE(VGP),moins de 65 ans,167,2021,10,42,1970,1,1
2021-2022,2021-10-24,1970-01-01 00:00:00.000000003,DOSES(J07E1),moins de 65 ans,668,2021,10,42,1970,1,1
2021-2022,2021-10-25,1970-01-01 00:00:00.000000004,ACTE(VGP),65 ans et plus,110893,2021,10,43,1970,1,1
2021-2022,2021-10-25,1970-01-01 00:00:00.000000004,DOSES(J07E1),65 ans et plus,385369,2021,10,43,1970,1,1
2021-2022,2021-10-25,1970-01-01 00:00:00.000000004,ACTE(VGP),moins de 65 ans,21386,2021,10,43,1970,1,1
2021-2022,2021-10-25,1970-01-01 00:00:00.000000004,DOSES(J07E1),moins de 65 ans,77941,2021,10,43,1970,1,1
2021-2022,2021-10-26,1970-01-01 00:00:00.000000005,ACTE(VGP),65 ans et plus,184509,2021,10,43,1970,1,1
2021-2022,2021-10-26,1970-01-01 00:00:00.000000005,DOSES(J07E1),65 ans et plus,604048,2021,10,43,1970,1,1
2021-2022,2021-10-26,1970-01-01 00:00:00.000000005,ACTE(VGP),moins de 65 ans,37721,2021,10,43,1970,1,1
2021-2022,2021-10-26,1970-01-01 00:00:00.000000005,DOSES(J07E1),moins de 65 ans,121794,2021,10,43,1970,1,1
2021-2022,2021-10-27,1970-01-01 00:00:00.000000006,ACTE(VGP),65 ans et plus,127418,2021,10,43,1970,1,1
2021-2022,2021-10-27,1970-01-01 00:00:00.000000006,DOSES(J07E1),65 ans et plus,406922,2021,10,43,1970,1,1
